Organization/Business Name ,WEBSITE
143 Speech Therapy,www.143speechtherapy.com
2 THE TOP,www.2ttop.com
3C Visions,3cvisions.com
5 Point Visuals,www.5pointvisuals.com
818 - a tiny design empire,818iowa.com
Aaron Murphy Interiors,www.aaronmurphyinteriors.com
Abbe Creek Gallery,abbecreekgallery.com
Ability Home Health Care LLC ,Abilitycare.net
Abs Dabs Hair at Fix Salon ,https://www.instagram.com/absdabshair?igsh=bGRhcGRnN2h3a3Jp&utm_source=qr
Absolutely Mental Health,https://www.psychologytoday.com/us/therapists/megan-matulka-plattsmouth-ne/742087
Acupuncture of Iowa,www.acupunctureofiowa.com
Adel Family Fun Center,https://www.affcbowl.com
Adel Veterinary Clinic ,www.adelvet.com
Adorn DSM,Www.adornndsm.com
Aero's Artistry,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://m.facebook.com/p/Aeros-Artistry-100075924913071/&ved=2ahUKEwjA_8ODq-mLAxUaL9AFHc0zPE0QFnoECCMQAQ&usg=AOvVaw3tLPOcNqqzOg_wwu69GCME
Afterglow Pro Studio,www.afterglowprostudio.com
Against the Grain Woodworking and Design,Www.againstthegrainwd.com
"Alamos Basement, LLC",alamosbasement.com
All About Cheesesteaks ,allaboutcheesesteaks.com
Alley Cat Tattoo ,https://m.facebook.com/tattoosbybrent/
AllSpice Culinarium,www.allspiceonline.com
Allspice Culinarium ,allspiceonline.com
Allure By Allie,Allurebyallie on instagram & facebook
Alluvial Brewing ,alluvialBrewing.com
Alondraxa.hair,alondraxa-hair.square.site
alvaradoand23@gmail.com,Toodlebopping/Facebook.com 
Alyssa Leicht (Photographer),alyssaleicht.com/@alyssaleicht (concerts) lysleicht.com/@lysleicht (weddings etc)
Amazing Event Comedy,Amazingeventcomedy.com
Ames British Foods and Gifts,Www.amesbritishfoods.com
Ames United Church of Christ,amesucc.org
Ampersand Copy and Content LLC,www.ampersandcopyandcontent.com 
Amplified ,Amplifieddsm.com 
